source,figure,pump_nm,daughter_nm,crystal_angle_face_deg,crystal_angle_axis_deg,observed_ring_diameter_no_lens_deg,observed_ring_diameter_with_lens_deg,model_ring_diameter_deg,observed_ring_width_no_lens_deg,observed_ring_width_with_lens_deg,model_ring_width_deg,fractional_signal_no_lens,fractional_signal_with_lens,notes,digitized,digitization_uncertainty_deg,digitization_method
Dustin_Shipp_BYU_2008,Figure_3_3_ring_diameter,351,690,-0.260,,4.47,4.60,0.54,,,,,,"Digitized literature data from CCD observations and the published computational curve.",true,0.05,"High-resolution PDF render; calibrated plot-axis readout."
Dustin_Shipp_BYU_2008,Figure_3_3_ring_diameter,351,690,-0.162,,5.69,5.86,1.43,,,,,,"Digitized literature data from CCD observations and the published computational curve.",true,0.05,"High-resolution PDF render; calibrated plot-axis readout."
Dustin_Shipp_BYU_2008,Figure_3_3_ring_diameter,351,690,-0.064,,6.53,6.69,3.57,,,,,,"Digitized literature data from CCD observations and the published computational curve.",true,0.05,"High-resolution PDF render; calibrated plot-axis readout."
Dustin_Shipp_BYU_2008,Figure_3_3_ring_diameter,351,690,0.001,,7.31,7.52,4.45,,,,,,"Digitized literature data from CCD observations and the published computational curve.",true,0.05,"High-resolution PDF render; calibrated plot-axis readout."
Dustin_Shipp_BYU_2008,Figure_3_3_ring_diameter,351,690,0.132,,8.32,8.51,5.78,,,,,,"Digitized literature data from CCD observations and the published computational curve.",true,0.05,"High-resolution PDF render; calibrated plot-axis readout."
Dustin_Shipp_BYU_2008,Figure_3_3_ring_diameter,351,690,0.263,,9.17,9.38,6.91,,,,,,"Digitized literature data from CCD observations and the published computational curve.",true,0.05,"High-resolution PDF render; calibrated plot-axis readout."
Dustin_Shipp_BYU_2008,Figure_3_3_ring_diameter,351,690,0.394,,10.18,10.33,7.87,,,,,,"Digitized literature data from CCD observations and the published computational curve.",true,0.05,"High-resolution PDF render; calibrated plot-axis readout."
Dustin_Shipp_BYU_2008,Figure_3_3_ring_diameter,351,690,0.492,,10.80,10.92,8.54,,,,,,"Digitized literature data from CCD observations and the published computational curve.",true,0.05,"High-resolution PDF render; calibrated plot-axis readout."
Dustin_Shipp_BYU_2008,Figure_3_3_ring_diameter,351,690,0.622,,11.57,11.69,9.37,,,,,,"Digitized literature data from CCD observations and the published computational curve.",true,0.05,"High-resolution PDF render; calibrated plot-axis readout."
Dustin_Shipp_BYU_2008,Figure_3_3_ring_diameter,351,690,0.786,,12.52,12.66,10.32,,,,,,"Digitized literature data from CCD observations and the published computational curve.",true,0.05,"High-resolution PDF render; calibrated plot-axis readout."
