alpha_deg,beta_deg,signal_counts,idler_counts,coincidence_counts,accidental_counts,integration_time_s,state,source_table
45,22.5,305415,248380,5302,227.57,30,PhiPlus,Table 11
45,-22.5,280234,237452,1709,199.62,30,PhiPlus,Table 11
45,-67.5,190449,247220,859,141.24,30,PhiPlus,Table 11
45,-112.5,210298,247104,5626,155.89,30,PhiPlus,Table 11
0,22.5,305380,320864,6682,293.95,30,PhiPlus,Table 11
0,-22.5,288215,312288,6478,270.01,30,PhiPlus,Table 11
0,-67.5,194873,321212,1267,187.78,30,PhiPlus,Table 11
0,-112.5,201912,301124,1538,182.40,30,PhiPlus,Table 11
-45,22.5,294989,231004,2013,204.43,30,PhiPlus,Table 11
-45,-22.5,280329,230040,5343,193.46,30,PhiPlus,Table 11
-45,-67.5,184691,232300,4809,128.71,30,PhiPlus,Table 11
-45,-112.5,202687,237160,604,144.20,30,PhiPlus,Table 11
-90,22.5,292146,164976,729,144.59,30,PhiPlus,Table 11
-90,-22.5,278696,170320,513,142.40,30,PhiPlus,Table 11
-90,-67.5,174801,158404,4295,83.06,30,PhiPlus,Table 11
-90,-112.5,201492,164912,4770,99.68,30,PhiPlus,Table 11
